case_id,customer_id,product_id,status,priority,subject,created_date,resolution_time_hours
CAS-000040,CUST_10743,PRD_1058,Closed,Medium,Warranty claim inquiry,2025-07-13 14:17:08,42.4
CAS-000041,CUST_13950,PRD_0844,Closed,Low,Where is my order?,2025-07-13 14:17:08,17.4
CAS-000042,CUST_04262,PRD_0976,New,Medium,Warranty claim inquiry,2025-07-13 16:17:08,
CAS-000043,CUST_19276,PRD_1145,Closed,Low,Defective item,2025-07-13 18:17:08,88.9
CAS-000044,CUST_14421,PRD_1412,Closed,Medium,Billing question,2025-07-13 18:17:08,107.3
CAS-000045,CUST_16574,PRD_0261,Closed,Medium,Billing question,2025-07-13 20:17:08,28.2
CAS-000046,CUST_17339,PRD_0242,Closed,Low,Warranty claim inquiry,2025-07-13 22:17:08,118.7
CAS-000047,CUST_18319,PRD_0757,Closed,Low,Where is my order?,2025-07-13 23:17:08,27.2
CAS-000048,CUST_18736,PRD_0594,Closed,Medium,Product arrived damaged,2025-07-14 02:17:08,21.2
CAS-000049,CUST_12271,PRD_0622,Closed,Low,Missing parts in box,2025-07-14 02:17:08,51.9
CAS-000050,CUST_19321,PRD_0864,Closed,Medium,Product arrived damaged,2025-07-14 05:17:08,24.7
CAS-000051,CUST_06000,PRD_1002,Closed,Low,Product arrived damaged,2025-07-14 06:17:08,48.3
CAS-000052,CUST_01465,PRD_0856,In Progress,Low,Billing question,2025-07-14 09:17:08,
CAS-000053,CUST_12364,PRD_0974,Closed,Medium,Need help with assembly,2025-07-14 09:17:08,151.3
CAS-000054,CUST_14744,PRD_1367,Closed,Medium,Billing question,2025-07-14 11:17:08,78.0
CAS-000055,CUST_02927,PRD_1280,In Progress,Medium,Defective item,2025-07-14 13:17:08,
CAS-000056,CUST_01502,PRD_1374,Closed,High,Billing question,2025-07-14 14:17:08,57.6
CAS-000057,CUST_00813,PRD_1172,Closed,Medium,Missing parts in box,2025-07-14 16:17:08,145.6
CAS-000058,CUST_06306,PRD_1268,Closed,Low,Product arrived damaged,2025-07-14 19:17:08,94.4
CAS-000059,CUST_16471,PRD_0039,Closed,Medium,Where is my order?,2025-07-15 02:17:08,126.3
CAS-000060,CUST_09010,PRD_0422,Closed,Medium,Warranty claim inquiry,2025-07-15 03:17:08,161.7
CAS-000061,CUST_02774,PRD_1093,Closed,High,Return request,2025-07-15 04:17:08,97.8
CAS-000062,CUST_00763,PRD_0697,Closed,Low,Defective item,2025-07-15 07:17:08,144.9
CAS-000063,CUST_17299,PRD_0650,In Progress,Low,Defective item,2025-07-15 07:17:08,
CAS-000064,CUST_03255,PRD_1110,In Progress,Low,Need help with assembly,2025-07-15 08:17:08,
CAS-000065,CUST_02937,PRD_0316,In Progress,Low,Missing parts in box,2025-07-15 08:17:08,
CAS-000066,CUST_10660,PRD_0372,Closed,Medium,Product arrived damaged,2025-07-15 14:17:08,10.8
CAS-000067,CUST_04669,PRD_0846,Closed,Low,Return request,2025-07-15 16:17:08,17.5
CAS-000068,CUST_03964,PRD_0107,In Progress,High,Warranty claim inquiry,2025-07-15 20:17:08,
CAS-000069,CUST_07750,PRD_1010,In Progress,Medium,Defective item,2025-07-15 20:17:08,
CAS-000070,CUST_18125,PRD_0834,Closed,Low,Where is my order?,2025-07-15 22:17:08,54.2
CAS-000071,CUST_00611,PRD_0552,Closed,Medium,Where is my order?,2025-07-16 00:17:08,40.0
CAS-000072,CUST_04115,PRD_0624,In Progress,Medium,Defective item,2025-07-16 01:17:08,
CAS-000073,CUST_04666,PRD_0765,Closed,High,Need help with assembly,2025-07-16 08:17:08,84.6
CAS-000074,CUST_18192,PRD_0926,Closed,Medium,Product arrived damaged,2025-07-16 08:17:08,71.8
CAS-000075,CUST_09479,PRD_1338,New,Medium,Need help with assembly,2025-07-16 09:17:08,
CAS-000076,CUST_15801,PRD_0560,New,High,Missing parts in box,2025-07-16 09:17:08,
CAS-000077,CUST_06972,PRD_1199,Closed,Low,Missing parts in box,2025-07-16 13:17:08,59.7
CAS-000078,CUST_18452,PRD_0144,New,Medium,Missing parts in box,2025-07-16 17:17:08,
CAS-000079,CUST_04577,PRD_1485,New,Medium,Missing parts in box,2025-07-16 19:17:08,
CAS-000080,CUST_10431,PRD_1397,Closed,Low,Return request,2025-07-16 19:17:08,85.3
CAS-000081,CUST_08947,PRD_0504,Closed,Critical,Return request,2025-07-16 19:17:08,119.2
CAS-000082,CUST_19645,PRD_0673,Escalated,Medium,Product arrived damaged,2025-07-17 02:17:08,
CAS-000083,CUST_19949,PRD_0976,Closed,Low,Product arrived damaged,2025-07-17 04:17:08,155.0
CAS-000084,CUST_16023,PRD_0805,Closed,Medium,Where is my order?,2025-07-17 10:17:08,70.0
CAS-000085,CUST_01015,PRD_1376,Closed,Medium,Billing question,2025-07-17 10:17:08,13.9
CAS-000086,CUST_19704,PRD_0734,Closed,Low,Defective item,2025-07-17 10:17:08,136.7
CAS-000087,CUST_00277,PRD_0256,In Progress,Medium,Billing question,2025-07-17 11:17:08,
CAS-000088,CUST_00649,PRD_0576,Closed,Low,Return request,2025-07-17 13:17:08,2.6
CAS-000089,CUST_09935,PRD_1471,In Progress,High,Warranty claim inquiry,2025-07-17 14:17:08,
CAS-000090,CUST_11895,PRD_0076,In Progress,Medium,Missing parts in box,2025-07-17 16:17:08,
CAS-000091,CUST_00234,PRD_0402,Closed,Medium,Defective item,2025-07-17 22:17:08,102.2
CAS-000092,CUST_16395,PRD_1012,In Progress,Low,Need help with assembly,2025-07-18 02:17:08,
CAS-000093,CUST_19759,PRD_1158,Closed,Medium,Need help with assembly,2025-07-18 02:17:08,95.5
CAS-000094,CUST_02132,PRD_0261,New,Low,Missing parts in box,2025-07-18 02:17:08,
CAS-000095,CUST_08990,PRD_0393,Closed,High,Product arrived damaged,2025-07-18 03:17:08,148.1
CAS-000096,CUST_08288,PRD_1395,Closed,Medium,Billing question,2025-07-18 11:17:08,90.0
CAS-000097,CUST_01700,PRD_0662,New,Medium,Defective item,2025-07-18 14:17:08,
CAS-000098,CUST_16984,PRD_0956,Closed,Medium,Billing question,2025-07-18 17:17:08,21.3
CAS-000099,CUST_07358,PRD_0097,Closed,Medium,Missing parts in box,2025-07-18 20:17:08,148.6
CAS-000100,CUST_12841,PRD_0399,Closed,Medium,Return request,2025-07-18 22:17:08,53.8
CAS-000101,CUST_00832,PRD_0463,New,Medium,Defective item,2025-07-18 23:17:08,
CAS-000102,CUST_10789,PRD_0637,Closed,High,Where is my order?,2025-07-19 01:17:08,33.9
CAS-000103,CUST_00788,PRD_1214,Closed,Low,Return request,2025-07-19 01:17:08,81.2
CAS-000104,CUST_11168,PRD_0112,Closed,Low,Return request,2025-07-19 02:17:08,80.1
CAS-000105,CUST_19660,PRD_1269,Closed,Low,Billing question,2025-07-19 02:17:08,13.2
CAS-000106,CUST_02803,PRD_0125,Closed,Medium,Product arrived damaged,2025-07-19 10:17:08,97.7
CAS-000107,CUST_04180,PRD_0127,Closed,High,Billing question,2025-07-19 11:17:08,116.8
CAS-000108,CUST_14151,PRD_0135,New,Medium,Where is my order?,2025-07-19 12:17:08,
CAS-000109,CUST_12500,PRD_0823,Closed,Medium,Where is my order?,2025-07-19 12:17:08,50.3
CAS-000110,CUST_00348,PRD_0929,Closed,Medium,Defective item,2025-07-19 21:17:08,145.4
CAS-000111,CUST_03319,PRD_0696,Closed,Medium,Product arrived damaged,2025-07-20 00:17:08,104.6
CAS-000112,CUST_03365,PRD_0026,Closed,Low,Where is my order?,2025-07-20 01:17:08,33.1
CAS-000113,CUST_04129,PRD_1306,Closed,High,Missing parts in box,2025-07-20 04:17:08,152.0
CAS-000114,CUST_06093,PRD_0498,Closed,Medium,Need help with assembly,2025-07-20 05:17:08,104.7
CAS-000115,CUST_14282,PRD_1051,Closed,Low,Return request,2025-07-20 05:17:08,53.0
CAS-000116,CUST_04772,PRD_0302,Escalated,High,Billing question,2025-07-20 07:17:08,
CAS-000117,CUST_12086,PRD_0017,Escalated,Low,Need help with assembly,2025-07-20 08:17:08,
CAS-000118,CUST_18333,PRD_0112,New,Medium,Defective item,2025-07-20 12:17:08,
CAS-000119,CUST_06595,PRD_0141,Escalated,Critical,Return request,2025-07-20 13:17:08,
CAS-000120,CUST_15316,PRD_1229,In Progress,Medium,Return request,2025-07-20 13:17:08,
CAS-000121,CUST_09819,PRD_0858,Closed,Medium,Return request,2025-07-20 15:17:08,57.1
CAS-000122,CUST_01383,PRD_1016,In Progress,Medium,Warranty claim inquiry,2025-07-20 18:17:08,
CAS-000123,CUST_15288,PRD_1278,Closed,Medium,Warranty claim inquiry,2025-07-20 20:17:08,116.8
CAS-000124,CUST_10864,PRD_0770,In Progress,Medium,Warranty claim inquiry,2025-07-20 20:17:08,
CAS-000125,CUST_00325,PRD_0152,Closed,High,Return request,2025-07-20 21:17:08,2.1
CAS-000126,CUST_09522,PRD_0902,New,Low,Warranty claim inquiry,2025-07-20 21:17:08,
CAS-000127,CUST_00973,PRD_0408,Closed,High,Warranty claim inquiry,2025-07-20 23:17:08,61.1
CAS-000128,CUST_08586,PRD_1473,In Progress,Low,Need help with assembly,2025-07-21 05:17:08,
CAS-000129,CUST_05851,PRD_0402,Escalated,Medium,Product arrived damaged,2025-07-21 08:17:08,
CAS-000130,CUST_03316,PRD_0043,In Progress,Low,Need help with assembly,2025-07-21 09:17:08,
CAS-000131,CUST_06890,PRD_0625,Closed,Medium,Billing question,2025-07-21 12:17:08,19.5
CAS-000132,CUST_05616,PRD_1080,In Progress,High,Defective item,2025-07-21 23:17:08,
CAS-000133,CUST_04286,PRD_0389,Closed,Low,Warranty claim inquiry,2025-07-22 01:17:08,25.1
CAS-000134,CUST_14076,PRD_1303,Closed,Medium,Warranty claim inquiry,2025-07-22 02:17:08,54.1
CAS-000135,CUST_17547,PRD_0603,Closed,Medium,Need help with assembly,2025-07-22 06:17:08,99.1
CAS-000136,CUST_09178,PRD_0259,Escalated,Low,Billing question,2025-07-22 06:17:08,
CAS-000137,CUST_15423,PRD_1359,In Progress,Low,Where is my order?,2025-07-22 10:17:08,
CAS-000138,CUST_16685,PRD_0767,In Progress,Low,Billing question,2025-07-22 10:17:08,
CAS-000139,CUST_17219,PRD_1423,Closed,Low,Billing question,2025-07-22 11:17:08,120.0
CAS-000140,CUST_13139,PRD_1307,Closed,Medium,Product arrived damaged,2025-07-22 13:17:08,45.8
CAS-000141,CUST_14814,PRD_0481,In Progress,High,Defective item,2025-07-22 16:17:08,
CAS-000142,CUST_12357,PRD_1171,In Progress,Medium,Need help with assembly,2025-07-22 17:17:08,
CAS-000143,CUST_04402,PRD_0173,Closed,Low,Missing parts in box,2025-07-22 20:17:08,92.9
CAS-000144,CUST_15246,PRD_1050,Closed,Low,Return request,2025-07-22 22:17:08,98.5
CAS-000145,CUST_16304,PRD_0650,Closed,Medium,Missing parts in box,2025-07-22 22:17:08,69.3
CAS-000146,CUST_02487,PRD_0736,Closed,Low,Where is my order?,2025-07-22 23:17:08,40.0
CAS-000147,CUST_17913,PRD_1319,In Progress,Medium,Where is my order?,2025-07-23 06:17:08,
CAS-000148,CUST_02338,PRD_0738,Closed,High,Product arrived damaged,2025-07-23 06:17:08,17.4
CAS-000149,CUST_08193,PRD_0620,Closed,Low,Missing parts in box,2025-07-23 06:17:08,113.7
CAS-000150,CUST_04518,PRD_1467,In Progress,Medium,Missing parts in box,2025-07-23 07:17:08,
CAS-000151,CUST_11359,PRD_0828,New,Low,Defective item,2025-07-23 10:17:08,
CAS-000152,CUST_16799,PRD_0306,Closed,Medium,Defective item,2025-07-23 12:17:08,3.0
CAS-000153,CUST_06878,PRD_0972,In Progress,Medium,Warranty claim inquiry,2025-07-23 13:17:08,
CAS-000154,CUST_15120,PRD_0698,Closed,Medium,Where is my order?,2025-07-23 13:17:08,127.5
CAS-000155,CUST_13687,PRD_0430,Escalated,Low,Billing question,2025-07-23 14:17:08,
CAS-000156,CUST_18924,PRD_0263,Closed,Medium,Missing parts in box,2025-07-23 14:17:08,63.6
CAS-000157,CUST_11622,PRD_0696,Closed,Low,Warranty claim inquiry,2025-07-23 16:17:08,136.3
CAS-000158,CUST_17617,PRD_0614,Closed,Medium,Return request,2025-07-23 16:17:08,68.4
CAS-000159,CUST_04560,PRD_0315,Closed,Medium,Return request,2025-07-23 18:17:08,6.4
CAS-000160,CUST_18805,PRD_0801,Closed,Medium,Defective item,2025-07-23 19:17:08,153.6
CAS-000161,CUST_17515,PRD_0792,In Progress,Low,Warranty claim inquiry,2025-07-23 20:17:08,
CAS-000162,CUST_09983,PRD_0191,Closed,Low,Need help with assembly,2025-07-23 21:17:08,161.6
CAS-000163,CUST_01051,PRD_1412,In Progress,Medium,Billing question,2025-07-23 23:17:08,
CAS-000164,CUST_12645,PRD_0582,New,Low,Warranty claim inquiry,2025-07-24 02:17:08,
CAS-000165,CUST_02294,PRD_0932,In Progress,Medium,Product arrived damaged,2025-07-24 02:17:08,
CAS-000166,CUST_13464,PRD_0801,Closed,Low,Need help with assembly,2025-07-24 02:17:08,55.6
CAS-000167,CUST_02254,PRD_0797,Closed,Low,Warranty claim inquiry,2025-07-24 05:17:08,70.9
CAS-000168,CUST_14163,PRD_1454,In Progress,Low,Billing question,2025-07-24 07:17:08,
CAS-000169,CUST_10169,PRD_1204,In Progress,Medium,Warranty claim inquiry,2025-07-24 08:17:08,
CAS-000170,CUST_00244,PRD_0293,Closed,Medium,Billing question,2025-07-24 10:17:08,47.0
CAS-000171,CUST_08089,PRD_1077,New,Low,Return request,2025-07-24 10:17:08,
CAS-000172,CUST_18879,PRD_0081,Closed,High,Where is my order?,2025-07-24 14:17:08,77.9
CAS-000173,CUST_14953,PRD_0711,In Progress,High,Missing parts in box,2025-07-24 15:17:08,
CAS-000174,CUST_13601,PRD_0511,Closed,High,Need help with assembly,2025-07-24 18:17:08,142.9
CAS-000175,CUST_06012,PRD_1431,Closed,Medium,Where is my order?,2025-07-24 18:17:08,77.5
CAS-000176,CUST_05176,PRD_0561,Closed,High,Missing parts in box,2025-07-24 21:17:08,41.0
CAS-000177,CUST_07120,PRD_1011,Closed,Low,Defective item,2025-07-24 23:17:08,122.3
CAS-000178,CUST_02508,PRD_0216,Closed,Medium,Return request,2025-07-24 23:17:08,167.2
CAS-000179,CUST_01463,PRD_0947,Closed,Low,Product arrived damaged,2025-07-25 00:17:08,35.6
CAS-000180,CUST_15136,PRD_0781,New,Medium,Return request,2025-07-25 02:17:08,
CAS-000181,CUST_00352,PRD_0514,Closed,High,Where is my order?,2025-07-25 05:17:08,67.2
CAS-000182,CUST_15213,PRD_0993,Closed,Low,Billing question,2025-07-25 07:17:08,112.9
CAS-000183,CUST_07940,PRD_1462,New,Medium,Billing question,2025-07-25 11:17:08,
CAS-000184,CUST_05288,PRD_0350,In Progress,High,Product arrived damaged,2025-07-25 13:17:08,
CAS-000185,CUST_12808,PRD_0345,Closed,Low,Where is my order?,2025-07-25 16:17:08,21.7
CAS-000186,CUST_14440,PRD_0734,Closed,Low,Need help with assembly,2025-07-25 16:17:08,46.6
CAS-000187,CUST_17443,PRD_0443,In Progress,Low,Billing question,2025-07-25 17:17:08,
CAS-000188,CUST_03369,PRD_0800,Closed,High,Missing parts in box,2025-07-25 18:17:08,136.5
CAS-000189,CUST_12367,PRD_0414,Closed,Medium,Warranty claim inquiry,2025-07-25 19:17:08,9.1
CAS-000190,CUST_13818,PRD_0058,Closed,Low,Product arrived damaged,2025-07-25 20:17:08,16.3
CAS-000191,CUST_02071,PRD_0452,Escalated,Low,Where is my order?,2025-07-25 20:17:08,
CAS-000192,CUST_05474,PRD_0091,Closed,High,Defective item,2025-07-25 21:17:08,29.0
CAS-000193,CUST_06212,PRD_1280,Closed,High,Warranty claim inquiry,2025-07-25 22:17:08,54.9
CAS-000194,CUST_07616,PRD_0438,Closed,Low,Where is my order?,2025-07-26 00:17:08,72.5
CAS-000195,CUST_10363,PRD_0025,Closed,Low,Defective item,2025-07-26 00:17:08,68.2
CAS-000196,CUST_09125,PRD_1332,In Progress,Low,Return request,2025-07-26 01:17:08,
CAS-000197,CUST_13471,PRD_0618,New,High,Billing question,2025-07-26 05:17:08,
CAS-000198,CUST_18652,PRD_0352,Closed,Low,Missing parts in box,2025-07-26 06:17:08,90.5
CAS-000199,CUST_12733,PRD_1389,Closed,Medium,Need help with assembly,2025-07-26 08:17:08,164.9
CAS-000200,CUST_10420,PRD_1365,Escalated,Medium,Billing question,2025-07-26 09:17:08,
CAS-000201,CUST_19171,PRD_0920,New,Low,Defective item,2025-07-26 12:17:08,
CAS-000202,CUST_00436,PRD_0477,Closed,Medium,Product arrived damaged,2025-07-26 13:17:08,85.1
CAS-000203,CUST_14042,PRD_0499,Closed,High,Where is my order?,2025-07-26 17:17:08,52.6
CAS-000204,CUST_09720,PRD_0414,New,Low,Need help with assembly,2025-07-26 19:17:08,
CAS-000205,CUST_19598,PRD_0909,Closed,Medium,Return request,2025-07-26 20:17:08,40.8
CAS-000206,CUST_01298,PRD_1067,In Progress,Low,Defective item,2025-07-27 03:17:08,
CAS-000207,CUST_10856,PRD_0702,Closed,Low,Warranty claim inquiry,2025-07-27 05:17:08,5.0
CAS-000208,CUST_08138,PRD_1408,In Progress,Low,Warranty claim inquiry,2025-07-27 06:17:08,
CAS-000209,CUST_14496,PRD_1290,Closed,Low,Product arrived damaged,2025-07-27 08:17:08,54.7
CAS-000210,CUST_06307,PRD_0107,New,Medium,Need help with assembly,2025-07-27 13:17:08,
CAS-000211,CUST_17985,PRD_0419,Closed,Low,Warranty claim inquiry,2025-07-27 15:17:08,30.0
CAS-000212,CUST_05380,PRD_1478,Closed,Medium,Warranty claim inquiry,2025-07-27 17:17:08,79.0
CAS-000213,CUST_08159,PRD_0621,In Progress,Low,Missing parts in box,2025-07-27 21:17:08,
CAS-000214,CUST_15768,PRD_0164,Closed,Critical,Return request,2025-07-27 22:17:08,34.6
CAS-000215,CUST_16558,PRD_1249,Closed,Low,Defective item,2025-07-27 23:17:08,74.7
CAS-000216,CUST_00650,PRD_0782,Closed,High,Defective item,2025-07-28 01:17:08,133.5
CAS-000217,CUST_19503,PRD_1101,Closed,Medium,Need help with assembly,2025-07-28 01:17:08,154.9
CAS-000218,CUST_10023,PRD_0929,Closed,Low,Missing parts in box,2025-07-28 02:17:08,64.5
CAS-000219,CUST_04478,PRD_1465,Closed,Medium,Billing question,2025-07-28 04:17:08,13.0
CAS-000220,CUST_00137,PRD_0027,In Progress,High,Return request,2025-07-28 05:17:08,
CAS-000221,CUST_12228,PRD_0787,Closed,High,Billing question,2025-07-28 06:17:08,158.0
CAS-000222,CUST_02335,PRD_0838,Escalated,Critical,Product arrived damaged,2025-07-28 07:17:08,
CAS-000223,CUST_05321,PRD_0398,Closed,Low,Defective item,2025-07-28 07:17:08,156.7
CAS-000224,CUST_11423,PRD_1044,Closed,Medium,Billing question,2025-07-28 09:17:08,126.5
CAS-000225,CUST_12627,PRD_0869,Closed,Low,Warranty claim inquiry,2025-07-28 14:17:08,10.6
CAS-000226,CUST_11843,PRD_1293,In Progress,Low,Product arrived damaged,2025-07-28 16:17:08,
CAS-000227,CUST_14925,PRD_1395,Closed,Medium,Need help with assembly,2025-07-28 16:17:08,44.6
CAS-000228,CUST_05290,PRD_0026,In Progress,Medium,Where is my order?,2025-07-28 17:17:08,
CAS-000229,CUST_13031,PRD_1447,Closed,Medium,Where is my order?,2025-07-28 20:17:08,154.1
CAS-000230,CUST_13988,PRD_0518,Closed,Low,Missing parts in box,2025-07-28 23:17:08,71.6
CAS-000231,CUST_19205,PRD_0631,Closed,Medium,Defective item,2025-07-28 23:17:08,149.1
CAS-000232,CUST_03581,PRD_1303,Closed,High,Return request,2025-07-29 01:17:08,146.2
CAS-000233,CUST_13041,PRD_1432,Closed,Low,Missing parts in box,2025-07-29 02:17:08,36.0
CAS-000234,CUST_16113,PRD_0004,New,Low,Where is my order?,2025-07-29 03:17:08,
CAS-000235,CUST_17202,PRD_0854,New,Medium,Missing parts in box,2025-07-29 04:17:08,
CAS-000236,CUST_04402,PRD_0406,Closed,Low,Billing question,2025-07-29 04:17:08,63.6
CAS-000237,CUST_14768,PRD_1162,In Progress,High,Warranty claim inquiry,2025-07-29 08:17:08,
CAS-000238,CUST_05988,PRD_0393,In Progress,Low,Missing parts in box,2025-07-29 13:17:08,
CAS-000239,CUST_03579,PRD_1304,Closed,High,Need help with assembly,2025-07-29 18:17:08,74.6
CAS-000240,CUST_04086,PRD_0567,New,Low,Where is my order?,2025-07-29 22:17:08,
CAS-000241,CUST_15660,PRD_0994,Escalated,Medium,Where is my order?,2025-07-30 00:17:08,
CAS-000242,CUST_00237,PRD_1363,New,Low,Product arrived damaged,2025-07-30 02:17:08,
CAS-000243,CUST_00238,PRD_0770,New,Medium,Missing parts in box,2025-07-30 02:17:08,
CAS-000244,CUST_14073,PRD_0690,Closed,Medium,Return request,2025-07-30 04:17:08,57.3
CAS-000245,CUST_07852,PRD_0740,Closed,Low,Defective item,2025-07-30 05:17:08,53.6
CAS-000246,CUST_10822,PRD_0206,Closed,Low,Product arrived damaged,2025-07-30 18:17:08,60.5
CAS-000247,CUST_04551,PRD_0053,Closed,Medium,Where is my order?,2025-07-30 20:17:08,122.1
CAS-000248,CUST_08145,PRD_0755,Closed,Low,Billing question,2025-07-30 20:17:08,117.8
CAS-000249,CUST_13538,PRD_1353,Closed,Medium,Warranty claim inquiry,2025-07-30 21:17:08,80.4
CAS-000250,CUST_10558,PRD_0035,New,Medium,Return request,2025-07-30 21:17:08,
CAS-000251,CUST_14560,PRD_0479,Closed,Critical,Billing question,2025-07-30 23:17:08,123.9
CAS-000252,CUST_14022,PRD_0976,Closed,Medium,Where is my order?,2025-07-31 00:17:08,14.6
CAS-000253,CUST_04692,PRD_1066,Closed,Low,Product arrived damaged,2025-07-31 01:17:08,33.6
CAS-000254,CUST_09875,PRD_1379,In Progress,Medium,Billing question,2025-07-31 02:17:08,
CAS-000255,CUST_03791,PRD_0988,In Progress,Medium,Warranty claim inquiry,2025-07-31 05:17:08,
CAS-000256,CUST_02931,PRD_0217,In Progress,Low,Defective item,2025-07-31 06:17:08,
CAS-000257,CUST_10699,PRD_0786,Closed,Low,Missing parts in box,2025-07-31 08:17:08,156.1
CAS-000258,CUST_15608,PRD_1374,In Progress,Low,Where is my order?,2025-07-31 10:17:08,
CAS-000259,CUST_16121,PRD_0186,Closed,High,Return request,2025-07-31 10:17:08,106.8
CAS-000260,CUST_19684,PRD_0133,Closed,High,Return request,2025-07-31 10:17:08,129.0
CAS-000261,CUST_12506,PRD_1340,Closed,Medium,Defective item,2025-07-31 11:17:08,123.9
CAS-000262,CUST_02874,PRD_0229,Closed,Low,Where is my order?,2025-07-31 12:17:08,20.3
CAS-000263,CUST_06166,PRD_0238,Escalated,Medium,Return request,2025-07-31 13:17:08,
CAS-000264,CUST_12459,PRD_1182,In Progress,Low,Product arrived damaged,2025-07-31 15:17:08,
CAS-000265,CUST_06222,PRD_0795,Escalated,Medium,Defective item,2025-07-31 16:17:08,
CAS-000266,CUST_04139,PRD_1065,Escalated,Low,Warranty claim inquiry,2025-07-31 17:17:08,
CAS-000267,CUST_15094,PRD_0648,In Progress,Low,Need help with assembly,2025-07-31 18:17:08,
CAS-000268,CUST_14936,PRD_0302,Closed,Low,Missing parts in box,2025-07-31 18:17:08,37.6
CAS-000269,CUST_01126,PRD_1227,In Progress,Medium,Return request,2025-07-31 20:17:08,
CAS-000270,CUST_04046,PRD_0561,Escalated,Critical,Billing question,2025-07-31 22:17:08,
CAS-000271,CUST_12344,PRD_0121,Closed,Low,Return request,2025-07-31 23:17:08,49.7
