product_id,product_name,description,category,brand,unit_price,sku,is_active
PRD_0020,Nordic Steel Area Rug,A premium quality nordic area rug crafted from durable steel. Designed by Elegance Decor.,Decor,Elegance Decor,291.34,ELE-DEC-ARE-R56F,True
PRD_0021,Minimalist Glass Bath Towel Set,A premium quality minimalist bath towel set crafted from durable glass. Designed by CozyNest.,Bed & Bath,CozyNest,40.0,COZ-BED-BAT-89UZ,True
PRD_0022,Artisan Walnut Cutlery Set,A premium quality artisan cutlery set crafted from durable walnut. Designed by Iron & Clay.,Kitchen & Dining,Iron & Clay,118.29,IRO-KIT-CUT-CLBR,True
PRD_0023,Rustic Walnut Stackable Plastic Bin Set,A premium quality rustic stackable plastic bin set crafted from durable walnut. Designed by Box & Bin.,Storage & Organization,Box & Bin,15.04,BOX-STO-STA-GVYI,True
PRD_0024,Artisan Brass Sideboard,A premium quality artisan sideboard crafted from durable brass. Designed by Acme Living.,Furniture,Acme Living,571.63,ACM-FUR-SID-PVS7,True
PRD_0025,Industrial Steel Desk Lamp,A premium quality industrial desk lamp crafted from durable steel. Designed by GlowStudio.,Lighting,GlowStudio,40.73,GLO-LIG-DES-YKL1,True
PRD_0026,Vintage Brass Wall Clock,A premium quality vintage wall clock crafted from durable brass. Designed by Terra Clay.,Decor,Terra Clay,20.49,TER-DEC-WAL-HJ75,True
PRD_0027,Minimalist Teak Pillow Set,A premium quality minimalist pillow set crafted from durable teak. Designed by CozyNest.,Bed & Bath,CozyNest,70.02,COZ-BED-PIL-ZW9X,True
PRD_0028,Minimalist Wool Ceramic Serving Bowl,A premium quality minimalist ceramic serving bowl crafted from durable wool. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,47.68,ACM-KIT-CER-EEDT,True
PRD_0029,Artisan Linen Stackable Plastic Bin Set,A premium quality artisan stackable plastic bin set crafted from durable linen. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,38.12,SPA-STO-STA-4SJ6,True
PRD_0030,Bohemian Marble Armchair,A premium quality bohemian armchair crafted from durable marble. Designed by Acme Living.,Furniture,Acme Living,151.6,ACM-FUR-ARM-1WJ0,True
PRD_0031,Contemporary Walnut Wall Sconce,A premium quality contemporary wall sconce crafted from durable walnut. Designed by Lumina Design.,Lighting,Lumina Design,32.15,LUM-LIG-WAL-56T4,True
PRD_0032,Bohemian Teak Wall Mirror,A premium quality bohemian wall mirror crafted from durable teak. Designed by Terra Clay.,Decor,Terra Clay,82.4,TER-DEC-WAL-6246,True
PRD_0033,Nordic Linen Duvet Cover Set,A premium quality nordic duvet cover set crafted from durable linen. Designed by Cloud Soft.,Bed & Bath,Cloud Soft,182.62,CLO-BED-DUV-OWF7,True
PRD_0034,Bohemian Walnut Cookware Set,A premium quality bohemian cookware set crafted from durable walnut. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,315.7,ACM-KIT-COO-L725,True
PRD_0035,Rustic Oak Fabric Closet Organizer,A premium quality rustic fabric closet organizer crafted from durable oak. Designed by Acme Tidy.,Storage & Organization,Acme Tidy,36.42,ACM-STO-FAB-4I3Q,True
PRD_0036,Artisan Walnut Coffee Table,A premium quality artisan coffee table crafted from durable walnut. Designed by Nordic Craft.,Furniture,Nordic Craft,239.46,NOR-FUR-COF-KC1M,True
PRD_0037,Contemporary Linen Desk Lamp,A premium quality contemporary desk lamp crafted from durable linen. Designed by Lumina Design.,Lighting,Lumina Design,22.5,LUM-LIG-DES-8G8J,True
PRD_0038,Industrial Linen Table Runner,A premium quality industrial table runner crafted from durable linen. Designed by Minimalist Home.,Decor,Minimalist Home,32.0,MIN-DEC-TAB-SNUJ,True
PRD_0039,Contemporary Bamboo Organic Sheet Set,A premium quality contemporary organic sheet set crafted from durable bamboo. Designed by Cloud Soft.,Bed & Bath,Cloud Soft,119.14,CLO-BED-ORG-0YNC,True
PRD_0040,Vintage Linen Cutlery Set,A premium quality vintage cutlery set crafted from durable linen. Designed by Iron & Clay.,Kitchen & Dining,Iron & Clay,131.76,IRO-KIT-CUT-ZKLO,True
PRD_0041,Contemporary Teak Fabric Closet Organizer,A premium quality contemporary fabric closet organizer crafted from durable teak. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,23.77,SPA-STO-FAB-7Y6W,True
PRD_0042,Modernist Marble Wardrobe,A premium quality modernist wardrobe crafted from durable marble. Designed by SleekSteel.,Furniture,SleekSteel,591.71,SLE-FUR-WAR-2VLP,True
PRD_0043,Classic Teak Chandelier,A premium quality classic chandelier crafted from durable teak. Designed by Edison & Co..,Lighting,Edison & Co.,222.08,EDI-LIG-CHA-SWM3,True
PRD_0044,Artisan Steel Canvas Wall Art,A premium quality artisan canvas wall art crafted from durable steel. Designed by Elegance Decor.,Decor,Elegance Decor,30.5,ELE-DEC-CAN-IR4C,True
PRD_0045,Vintage Steel Bath Mat,A premium quality vintage bath mat crafted from durable steel. Designed by Cloud Soft.,Bed & Bath,Cloud Soft,23.32,CLO-BED-BAT-RIXA,True
PRD_0046,Bohemian Steel Dinnerware Set,A premium quality bohemian dinnerware set crafted from durable steel. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,210.82,ACM-KIT-DIN-ZQU7,True
PRD_0047,Classic Wool Woven Storage Basket,A premium quality classic woven storage basket crafted from durable wool. Designed by Box & Bin.,Storage & Organization,Box & Bin,44.58,BOX-STO-WOV-V86W,True
PRD_0048,Bohemian Bamboo Wardrobe,A premium quality bohemian wardrobe crafted from durable bamboo. Designed by Heritage Oak.,Furniture,Heritage Oak,1381.79,HER-FUR-WAR-0RJI,True
PRD_0049,Classic Wool Chandelier,A premium quality classic chandelier crafted from durable wool. Designed by Lumina Design.,Lighting,Lumina Design,383.41,LUM-LIG-CHA-CKJL,True
PRD_0050,Rustic Steel Wall Mirror,A premium quality rustic wall mirror crafted from durable steel. Designed by Minimalist Home.,Decor,Minimalist Home,147.97,MIN-DEC-WAL-ZCOT,True
PRD_0051,Bohemian Ceramic Duvet Cover Set,A premium quality bohemian duvet cover set crafted from durable ceramic. Designed by Cloud Soft.,Bed & Bath,Cloud Soft,191.91,CLO-BED-DUV-A5UR,True
PRD_0052,Bohemian Ceramic Cutlery Set,A premium quality bohemian cutlery set crafted from durable ceramic. Designed by Iron & Clay.,Kitchen & Dining,Iron & Clay,119.7,IRO-KIT-CUT-TVHH,True
PRD_0053,Bohemian Linen Wire Shelving,A premium quality bohemian wire shelving crafted from durable linen. Designed by Box & Bin.,Storage & Organization,Box & Bin,91.12,BOX-STO-WIR-OFQE,True
PRD_0054,Bohemian Brass Sofa,A premium quality bohemian sofa crafted from durable brass. Designed by Acme Living.,Furniture,Acme Living,563.33,ACM-FUR-SOF-P5GJ,True
PRD_0055,Industrial Linen Wall Sconce,A premium quality industrial wall sconce crafted from durable linen. Designed by GlowStudio.,Lighting,GlowStudio,51.43,GLO-LIG-WAL-8P4Q,True
PRD_0056,Industrial Steel Area Rug,A premium quality industrial area rug crafted from durable steel. Designed by Terra Clay.,Decor,Terra Clay,486.24,TER-DEC-ARE-X18H,True
PRD_0057,Artisan Teak Duvet Cover Set,A premium quality artisan duvet cover set crafted from durable teak. Designed by CozyNest.,Bed & Bath,CozyNest,150.42,COZ-BED-DUV-UHZ1,True
PRD_0058,Nordic Teak Ceramic Serving Bowl,A premium quality nordic ceramic serving bowl crafted from durable teak. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,16.11,TER-KIT-CER-ALY8,True
PRD_0059,Nordic Brass Woven Storage Basket,A premium quality nordic woven storage basket crafted from durable brass. Designed by Box & Bin.,Storage & Organization,Box & Bin,39.07,BOX-STO-WOV-IZKY,True
PRD_0060,Modernist Linen Sideboard,A premium quality modernist sideboard crafted from durable linen. Designed by Heritage Oak.,Furniture,Heritage Oak,596.91,HER-FUR-SID-CXAP,True
PRD_0061,Industrial Wool Wall Sconce,A premium quality industrial wall sconce crafted from durable wool. Designed by GlowStudio.,Lighting,GlowStudio,92.19,GLO-LIG-WAL-P08J,True
PRD_0062,Classic Ceramic Wall Clock,A premium quality classic wall clock crafted from durable ceramic. Designed by Artisan Weave.,Decor,Artisan Weave,39.17,ART-DEC-WAL-I7KQ,True
PRD_0063,Vintage Wool Shower Curtain,A premium quality vintage shower curtain crafted from durable wool. Designed by CozyNest.,Bed & Bath,CozyNest,20.09,COZ-BED-SHO-RLRM,True
PRD_0064,Vintage Marble Cutlery Set,A premium quality vintage cutlery set crafted from durable marble. Designed by Iron & Clay.,Kitchen & Dining,Iron & Clay,31.22,IRO-KIT-CUT-8DZR,True
PRD_0065,Classic Glass Shoe Rack,A premium quality classic shoe rack crafted from durable glass. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,19.19,SPA-STO-SHO-HYLU,True
PRD_0066,Industrial Ceramic Wardrobe,A premium quality industrial wardrobe crafted from durable ceramic. Designed by SleekSteel.,Furniture,SleekSteel,754.58,SLE-FUR-WAR-QLIZ,True
PRD_0067,Contemporary Teak Desk Lamp,A premium quality contemporary desk lamp crafted from durable teak. Designed by Lumina Design.,Lighting,Lumina Design,29.07,LUM-LIG-DES-R09S,True
PRD_0068,Artisan Marble Throw Pillow,A premium quality artisan throw pillow crafted from durable marble. Designed by Elegance Decor.,Decor,Elegance Decor,27.63,ELE-DEC-THR-KZEB,True
PRD_0069,Rustic Wool Pillow Set,A premium quality rustic pillow set crafted from durable wool. Designed by CozyNest.,Bed & Bath,CozyNest,26.16,COZ-BED-PIL-AKRM,False
PRD_0070,Classic Oak Cutlery Set,A premium quality classic cutlery set crafted from durable oak. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,78.08,ACM-KIT-CUT-CWBF,True
PRD_0071,Nordic Steel Fabric Closet Organizer,A premium quality nordic fabric closet organizer crafted from durable steel. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,27.63,SPA-STO-FAB-OVW1,True
PRD_0072,Minimalist Brass Nightstand,A premium quality minimalist nightstand crafted from durable brass. Designed by Heritage Oak.,Furniture,Heritage Oak,95.81,HER-FUR-NIG-WV08,True
PRD_0073,Minimalist Wool Table Lamp,A premium quality minimalist table lamp crafted from durable wool. Designed by Lumina Design.,Lighting,Lumina Design,40.42,LUM-LIG-TAB-GCAQ,True
PRD_0074,Modernist Steel Canvas Wall Art,A premium quality modernist canvas wall art crafted from durable steel. Designed by Artisan Weave.,Decor,Artisan Weave,184.07,ART-DEC-CAN-ZQY7,True
PRD_0075,Vintage Wool Bath Mat,A premium quality vintage bath mat crafted from durable wool. Designed by Loom & Thread.,Bed & Bath,Loom & Thread,17.35,LOO-BED-BAT-TX63,True
PRD_0076,Minimalist Brass Cookware Set,A premium quality minimalist cookware set crafted from durable brass. Designed by Iron & Clay.,Kitchen & Dining,Iron & Clay,343.76,IRO-KIT-COO-7PQK,True
PRD_0077,Contemporary Bamboo Fabric Closet Organizer,A premium quality contemporary fabric closet organizer crafted from durable bamboo. Designed by Acme Tidy.,Storage & Organization,Acme Tidy,24.26,ACM-STO-FAB-V60V,True
PRD_0078,Vintage Brass Coffee Table,A premium quality vintage coffee table crafted from durable brass. Designed by Acme Living.,Furniture,Acme Living,449.85,ACM-FUR-COF-YJB1,True
PRD_0079,Classic Marble Desk Lamp,A premium quality classic desk lamp crafted from durable marble. Designed by Lumina Design.,Lighting,Lumina Design,79.8,LUM-LIG-DES-P38Q,True
PRD_0080,Nordic Teak Scented Candle,A premium quality nordic scented candle crafted from durable teak. Designed by Artisan Weave.,Decor,Artisan Weave,17.06,ART-DEC-SCE-RXO1,True
PRD_0081,Industrial Marble Organic Sheet Set,A premium quality industrial organic sheet set crafted from durable marble. Designed by CozyNest.,Bed & Bath,CozyNest,52.75,COZ-BED-ORG-153A,True
PRD_0082,Bohemian Walnut Wine Glass Set,A premium quality bohemian wine glass set crafted from durable walnut. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,48.7,ACM-KIT-WIN-WRPB,True
PRD_0083,Minimalist Glass Woven Storage Basket,A premium quality minimalist woven storage basket crafted from durable glass. Designed by Box & Bin.,Storage & Organization,Box & Bin,26.96,BOX-STO-WOV-BW2Z,True
PRD_0084,Contemporary Ceramic Sofa,A premium quality contemporary sofa crafted from durable ceramic. Designed by Acme Living.,Furniture,Acme Living,753.35,ACM-FUR-SOF-4E8X,True
PRD_0085,Minimalist Bamboo Desk Lamp,A premium quality minimalist desk lamp crafted from durable bamboo. Designed by Edison & Co..,Lighting,Edison & Co.,32.77,EDI-LIG-DES-49IT,True
PRD_0086,Nordic Marble Wall Mirror,A premium quality nordic wall mirror crafted from durable marble. Designed by Minimalist Home.,Decor,Minimalist Home,87.78,MIN-DEC-WAL-2JA0,True
PRD_0087,Classic Teak Shower Curtain,A premium quality classic shower curtain crafted from durable teak. Designed by CozyNest.,Bed & Bath,CozyNest,26.16,COZ-BED-SHO-MTTQ,True
PRD_0088,Artisan Brass Cookware Set,A premium quality artisan cookware set crafted from durable brass. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,154.74,TER-KIT-COO-1B0Z,True
PRD_0089,Rustic Glass Shoe Rack,A premium quality rustic shoe rack crafted from durable glass. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,20.68,SPA-STO-SHO-8LD4,True
PRD_0090,Modernist Teak Nightstand,A premium quality modernist nightstand crafted from durable teak. Designed by Heritage Oak.,Furniture,Heritage Oak,180.64,HER-FUR-NIG-8C2J,True
PRD_0091,Nordic Linen Wall Sconce,A premium quality nordic wall sconce crafted from durable linen. Designed by Edison & Co..,Lighting,Edison & Co.,106.64,EDI-LIG-WAL-NLZ1,True
PRD_0092,Vintage Oak Area Rug,A premium quality vintage area rug crafted from durable oak. Designed by Elegance Decor.,Decor,Elegance Decor,408.2,ELE-DEC-ARE-790P,True
PRD_0093,Nordic Glass Bath Mat,A premium quality nordic bath mat crafted from durable glass. Designed by Loom & Thread.,Bed & Bath,Loom & Thread,23.27,LOO-BED-BAT-6B2K,True
PRD_0094,Artisan Bamboo Cookware Set,A premium quality artisan cookware set crafted from durable bamboo. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,261.1,TER-KIT-COO-2GC5,True
PRD_0095,Classic Brass Woven Storage Basket,A premium quality classic woven storage basket crafted from durable brass. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,18.13,SPA-STO-WOV-WQY6,True
PRD_0096,Contemporary Teak Bookshelf,A premium quality contemporary bookshelf crafted from durable teak. Designed by Acme Living.,Furniture,Acme Living,221.35,ACM-FUR-BOO-MVXP,True
PRD_0097,Artisan Ceramic Floor Lamp,A premium quality artisan floor lamp crafted from durable ceramic. Designed by GlowStudio.,Lighting,GlowStudio,71.33,GLO-LIG-FLO-NMKZ,True
PRD_0098,Minimalist Walnut Table Runner,A premium quality minimalist table runner crafted from durable walnut. Designed by Terra Clay.,Decor,Terra Clay,42.05,TER-DEC-TAB-0361,True
PRD_0099,Artisan Wool Pillow Set,A premium quality artisan pillow set crafted from durable wool. Designed by Loom & Thread.,Bed & Bath,Loom & Thread,57.25,LOO-BED-PIL-YZX4,True
PRD_0100,Modernist Marble Wood Cutting Board,A premium quality modernist wood cutting board crafted from durable marble. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,16.5,TER-KIT-WOO-NE6L,True
PRD_0101,Rustic Bamboo Woven Storage Basket,A premium quality rustic woven storage basket crafted from durable bamboo. Designed by Acme Tidy.,Storage & Organization,Acme Tidy,28.58,ACM-STO-WOV-63J3,True
PRD_0102,Industrial Oak Bookshelf,A premium quality industrial bookshelf crafted from durable oak. Designed by Heritage Oak.,Furniture,Heritage Oak,388.13,HER-FUR-BOO-F840,False
PRD_0103,Industrial Oak Chandelier,A premium quality industrial chandelier crafted from durable oak. Designed by GlowStudio.,Lighting,GlowStudio,161.83,GLO-LIG-CHA-TQYY,True
PRD_0104,Nordic Wool Scented Candle,A premium quality nordic scented candle crafted from durable wool. Designed by Elegance Decor.,Decor,Elegance Decor,18.37,ELE-DEC-SCE-W7LV,True
PRD_0105,Classic Marble Bath Mat,A premium quality classic bath mat crafted from durable marble. Designed by Cloud Soft.,Bed & Bath,Cloud Soft,16.98,CLO-BED-BAT-F8KR,True
PRD_0106,Rustic Ceramic Ceramic Serving Bowl,A premium quality rustic ceramic serving bowl crafted from durable ceramic. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,26.1,TER-KIT-CER-8ZTV,True
PRD_0107,Nordic Glass Shoe Rack,A premium quality nordic shoe rack crafted from durable glass. Designed by Box & Bin.,Storage & Organization,Box & Bin,33.37,BOX-STO-SHO-8BNP,False
PRD_0108,Nordic Wool Desk,A premium quality nordic desk crafted from durable wool. Designed by SleekSteel.,Furniture,SleekSteel,381.34,SLE-FUR-DES-9MOG,True
PRD_0109,Nordic Wool Wall Sconce,A premium quality nordic wall sconce crafted from durable wool. Designed by Lumina Design.,Lighting,Lumina Design,85.96,LUM-LIG-WAL-VA2I,True
PRD_0110,Nordic Bamboo Ceramic Vase,A premium quality nordic ceramic vase crafted from durable bamboo. Designed by Elegance Decor.,Decor,Elegance Decor,51.05,ELE-DEC-CER-3I12,True
PRD_0111,Rustic Teak Pillow Set,A premium quality rustic pillow set crafted from durable teak. Designed by Cloud Soft.,Bed & Bath,Cloud Soft,35.04,CLO-BED-PIL-GXAA,True
PRD_0112,Vintage Linen Cookware Set,A premium quality vintage cookware set crafted from durable linen. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,135.76,ACM-KIT-COO-B0S0,True
PRD_0113,Contemporary Brass Fabric Closet Organizer,A premium quality contemporary fabric closet organizer crafted from durable brass. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,24.66,SPA-STO-FAB-HW06,True
PRD_0114,Classic Wool Bookshelf,A premium quality classic bookshelf crafted from durable wool. Designed by Acme Living.,Furniture,Acme Living,99.46,ACM-FUR-BOO-ROYR,True
PRD_0115,Nordic Linen Pendant Light,A premium quality nordic pendant light crafted from durable linen. Designed by Edison & Co..,Lighting,Edison & Co.,78.57,EDI-LIG-PEN-EWVZ,True
PRD_0116,Classic Bamboo Canvas Wall Art,A premium quality classic canvas wall art crafted from durable bamboo. Designed by Minimalist Home.,Decor,Minimalist Home,47.32,MIN-DEC-CAN-Z4X1,True
PRD_0117,Bohemian Glass Duvet Cover Set,A premium quality bohemian duvet cover set crafted from durable glass. Designed by Loom & Thread.,Bed & Bath,Loom & Thread,112.07,LOO-BED-DUV-3O0L,True
PRD_0118,Industrial Teak Cutlery Set,A premium quality industrial cutlery set crafted from durable teak. Designed by Iron & Clay.,Kitchen & Dining,Iron & Clay,140.76,IRO-KIT-CUT-C3DD,True
PRD_0119,Contemporary Walnut Woven Storage Basket,A premium quality contemporary woven storage basket crafted from durable walnut. Designed by Box & Bin.,Storage & Organization,Box & Bin,43.48,BOX-STO-WOV-UYO5,True
PRD_0120,Modernist Marble Bed Frame,A premium quality modernist bed frame crafted from durable marble. Designed by SleekSteel.,Furniture,SleekSteel,513.73,SLE-FUR-BED-UHXI,True
PRD_0121,Industrial Oak Chandelier,A premium quality industrial chandelier crafted from durable oak. Designed by GlowStudio.,Lighting,GlowStudio,637.99,GLO-LIG-CHA-3493,True
PRD_0122,Vintage Wool Area Rug,A premium quality vintage area rug crafted from durable wool. Designed by Artisan Weave.,Decor,Artisan Weave,95.06,ART-DEC-ARE-J17M,True
PRD_0123,Vintage Wool Duvet Cover Set,A premium quality vintage duvet cover set crafted from durable wool. Designed by CozyNest.,Bed & Bath,CozyNest,60.44,COZ-BED-DUV-08DT,True
PRD_0124,Industrial Teak Wine Glass Set,A premium quality industrial wine glass set crafted from durable teak. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,35.26,TER-KIT-WIN-L7V5,True
PRD_0125,Modernist Wool Stackable Plastic Bin Set,A premium quality modernist stackable plastic bin set crafted from durable wool. Designed by SpaceSavers.,Storage & Organization,SpaceSavers,22.34,SPA-STO-STA-XRPJ,True
PRD_0126,Industrial Ceramic Dining Table,A premium quality industrial dining table crafted from durable ceramic. Designed by Acme Living.,Furniture,Acme Living,554.92,ACM-FUR-DIN-YRYB,True
PRD_0127,Modernist Walnut Chandelier,A premium quality modernist chandelier crafted from durable walnut. Designed by Lumina Design.,Lighting,Lumina Design,406.21,LUM-LIG-CHA-HEJL,True
PRD_0128,Rustic Teak Table Runner,A premium quality rustic table runner crafted from durable teak. Designed by Minimalist Home.,Decor,Minimalist Home,29.58,MIN-DEC-TAB-IUYM,True
PRD_0129,Modernist Ceramic Bath Mat,A premium quality modernist bath mat crafted from durable ceramic. Designed by Loom & Thread.,Bed & Bath,Loom & Thread,18.11,LOO-BED-BAT-CLPO,True
PRD_0130,Nordic Ceramic Cutlery Set,A premium quality nordic cutlery set crafted from durable ceramic. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,145.94,ACM-KIT-CUT-G8QY,True
PRD_0131,Nordic Steel Shoe Rack,A premium quality nordic shoe rack crafted from durable steel. Designed by Acme Tidy.,Storage & Organization,Acme Tidy,41.5,ACM-STO-SHO-SOLM,True
PRD_0132,Nordic Bamboo Dining Chair,A premium quality nordic dining chair crafted from durable bamboo. Designed by Acme Living.,Furniture,Acme Living,160.81,ACM-FUR-DIN-G1M8,True
PRD_0133,Artisan Oak Table Lamp,A premium quality artisan table lamp crafted from durable oak. Designed by Lumina Design.,Lighting,Lumina Design,53.28,LUM-LIG-TAB-GF1C,False
PRD_0134,Classic Brass Wall Clock,A premium quality classic wall clock crafted from durable brass. Designed by Minimalist Home.,Decor,Minimalist Home,66.09,MIN-DEC-WAL-5X9L,False
PRD_0135,Rustic Glass Pillow Set,A premium quality rustic pillow set crafted from durable glass. Designed by Loom & Thread.,Bed & Bath,Loom & Thread,48.14,LOO-BED-PIL-W2VM,True
PRD_0136,Classic Walnut Wine Glass Set,A premium quality classic wine glass set crafted from durable walnut. Designed by Acme Chef.,Kitchen & Dining,Acme Chef,38.97,ACM-KIT-WIN-KX9D,True
PRD_0137,Classic Brass Shoe Rack,A premium quality classic shoe rack crafted from durable brass. Designed by Box & Bin.,Storage & Organization,Box & Bin,57.94,BOX-STO-SHO-0B6U,True
PRD_0138,Classic Bamboo Sideboard,A premium quality classic sideboard crafted from durable bamboo. Designed by Nordic Craft.,Furniture,Nordic Craft,774.63,NOR-FUR-SID-Q349,True
PRD_0139,Rustic Walnut Desk Lamp,A premium quality rustic desk lamp crafted from durable walnut. Designed by Lumina Design.,Lighting,Lumina Design,61.0,LUM-LIG-DES-9SVN,True
PRD_0140,Bohemian Linen Table Runner,A premium quality bohemian table runner crafted from durable linen. Designed by Terra Clay.,Decor,Terra Clay,38.04,TER-DEC-TAB-XCDY,True
PRD_0141,Vintage Teak Bath Mat,A premium quality vintage bath mat crafted from durable teak. Designed by CozyNest.,Bed & Bath,CozyNest,9.79,COZ-BED-BAT-X7LX,True
PRD_0142,Vintage Oak Cookware Set,A premium quality vintage cookware set crafted from durable oak. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,258.86,TER-KIT-COO-XLEZ,True
PRD_0143,Nordic Wool Stackable Plastic Bin Set,A premium quality nordic stackable plastic bin set crafted from durable wool. Designed by Box & Bin.,Storage & Organization,Box & Bin,28.09,BOX-STO-STA-NNGH,True
PRD_0144,Artisan Steel Nightstand,A premium quality artisan nightstand crafted from durable steel. Designed by Nordic Craft.,Furniture,Nordic Craft,73.24,NOR-FUR-NIG-K2ST,True
PRD_0145,Modernist Wool Chandelier,A premium quality modernist chandelier crafted from durable wool. Designed by GlowStudio.,Lighting,GlowStudio,894.93,GLO-LIG-CHA-WVFG,True
PRD_0146,Classic Walnut Wall Mirror,A premium quality classic wall mirror crafted from durable walnut. Designed by Minimalist Home.,Decor,Minimalist Home,91.93,MIN-DEC-WAL-Z8V1,True
PRD_0147,Contemporary Steel Duvet Cover Set,A premium quality contemporary duvet cover set crafted from durable steel. Designed by CozyNest.,Bed & Bath,CozyNest,194.84,COZ-BED-DUV-26GY,True
PRD_0148,Classic Marble Wine Glass Set,A premium quality classic wine glass set crafted from durable marble. Designed by Terra Cotta.,Kitchen & Dining,Terra Cotta,47.69,TER-KIT-WIN-PFHV,True
